Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort   sdCMAB   sdCMAB40
HUN  1971          .       5.61
HUN  1972          .       5.67
HUN  1973          .       5.72
HUN  1974          .       5.73
HUN  1975          .       5.74
HUN  1976          .       5.75
HUN  1977          .       5.78
ISL  1945       5.72       5.47
ISL  1946       5.66       5.39
ISL  1947       5.76       5.45
ISL  1948       5.84       5.50
ISL  1949       5.86       5.55
ISL  1950       5.87       5.50
ISL  1951       5.89       5.60
ISL  1952       6.05       5.70
ISL  1953       6.11       5.77
ISL  1954       6.23       5.85
ISL  1955       6.14       5.84
ISL  1956       6.14       5.83
ISL  1957       6.10       5.84
ISL  1958       6.09       5.83
ISL  1959       6.08       5.77
ISL  1960       6.16       5.74
ISL  1961       6.05       5.75
ISL  1962       6.09       5.66
ISL  1963       5.99       5.62
ISL  1964       5.98       5.64
ISL  1965       5.94       5.54
ISL  1966          .       5.57
ISL  1967          .       5.53
ISL  1968          .       5.57
ISL  1969          .       5.59
ISL  1970          .       5.65
ISL  1971          .       5.71
ISL  1972          .       5.56
ISL  1973          .       5.59
ISL  1974          .       5.60
ISL  1975          .       5.49
ITA  1939       5.08       4.82
ITA  1940       5.04       4.79
ITA  1941       5.01       4.76
ITA  1942       5.00       4.75
ITA  1943       5.00       4.75
ITA  1944       5.04       4.78
ITA  1945       5.05       4.78
ITA  1946       5.05       4.78
ITA  1947       5.09       4.81
ITA  1948       5.15       4.86
ITA  1949       5.21       4.91
ITA  1950       5.30       4.97
ITA  1951       5.37       5.04
ITA  1952       5.45       5.13
ITA  1953       5.53       5.20
ITA  1954       5.61       5.28
ITA  1955       5.69       5.34
ITA  1956       5.76       5.40
ITA  1957       5.82       5.44
ITA  1958       5.87       5.48
ITA  1959       5.89       5.48
ITA  1960       5.89       5.47
ITA  1961       5.90       5.45
ITA  1962       5.91       5.44
ITA  1963       5.92       5.43
ITA  1964       5.92       5.42
ITA  1965       5.94       5.43
ITA  1966       5.95       5.42
ITA  1967       5.92       5.39
ITA  1968          .       5.34
ITA  1969          .       5.32
ITA  1970          .       5.32
ITA  1971          .       5.29
ITA  1972          .       5.24
ITA  1973          .       5.18
ITA  1974          .       5.14
ITA  1975          .       5.10
ITA  1976          .       5.08
ITA  1977          .       5.07
JPN  1932       4.34       4.20
JPN  1933       4.27       4.15
JPN  1934       4.20       4.08
JPN  1935       4.14       4.03
JPN  1936       4.09       3.98
JPN  1937       4.03       3.93
JPN  1938       3.99       3.88
JPN  1939       3.93       3.82
